Right_Answer,Answer,No
bad,0.0,1
bad,adult,2
bad,disgust,2
bad,anger,3
bad,"anger,",4
bad,mother,4
bad,angry,5
bad,angry,6
bad,maybe,6
bad,angry,7
bad,voice,7
bad,annoyed,8
bad,bewilderment,9
bad,blah,10
bad,calling,11
bad,angerly,11
bad,cheering,12
bad,curiousity,13
bad,disgust,14
bad,disgusting,15
bad,discusting,16
bad,disgust,17
bad,disgusted,18
bad,disgusted,19
bad,feeling,19
bad,disgusting,20
bad,dislike,21
bad,don't,22
bad,agre,22
bad,eugh,23
bad,eeughh,23
bad,eww,24
bad,frustrated,25
bad,feels,26
bad,like,26
bad,disgusting,26
bad,frustrated,27
bad,give,28
bad,me,28
bad,groan,29
bad,gross,30
bad,gross,31
bad,,31
bad,yuck,31
bad,grosse,32
bad,grossed,33
bad,out,33
bad,gurgle,34
bad,harsh,35
bad,happy,36
bad,harsh,37
bad,instruction,37
bad,hitting,38
bad,how,39
bad,come?,39
bad,i,40
bad,dislike,40
bad,idk,41
bad,imitate,42
bad,an,42
bad,animal,42
bad,incitement,43
bad,irritation,44
bad,like,45
bad,a,45
bad,something,45
bad,listen!,46
bad,mipi,47
bad,makes,48
bad,sense,48
bad,maybe,49
bad,me,50
bad,too,50
bad,men’s,51
bad,oooo,51
bad,men’s,52
bad,strange,52
bad,sounds,52
bad,miky,53
bad,mipi,54
bad,mitsy,55
bad,more,56
bad,murphy,57
bad,my,58
bad,pee,58
bad,name,59
bad,of,59
bad,person,59
bad,nasty,60
bad,nauseated,61
bad,nippy,62
bad,not,63
bad,liking,63
bad,something,63
bad,not,64
bad,sure,64
bad,offensive,65
bad,,65
bad,smell,65
bad,offensive,66
bad,smell,66
bad,ohhhh,67
bad,ough,68
bad,ough,68
bad,pokemon,69
bad,quit,70
bad,it!,70
bad,reieve,71
bad,really?,72
bad,refusing,73
bad,rejection,74
bad,or,74
bad,disgusting,74
bad,repulsed,75
bad,satisfaction,76
bad,scolding,77
bad,screaming,78
bad,shout,79
bad,shout,80
bad,danger,80
bad,sick,81
bad,sing,82
bad,stop,83
bad,strange,84
bad,sound,84
bad,s,84
bad,"stress,",85
bad,anger,85
bad,surprise,86
bad,tired,87
bad,"tired,",88
bad,disgust,88
bad,uooh,89
bad,utter,90
bad,disgust,90
bad,what,91
bad,happened?,91
bad,woaah,92
bad,"yeuch,",93
bad,that's,93
bad,disgusting,93
bad,yuck,94
bad,a,95
bad,groan,95
bad,aaaagh,96
bad,admiring,97
bad,adults,98
bad,celebrating,98
bad,agitated,99
bad,anger,100
bad,angry,101
bad,angry,102
bad,alien,102
bad,parent,102
bad,angry,103
bad,meepee,103
bad,angry,104
bad,name,104
bad,shouting,104
bad,angry,105
bad,person,105
bad,angry,106
bad,woman,106
bad,"angry,",107
bad,accusation,107
bad,animal,108
bad,animal,109
bad,imitation,109
bad,annoyance,110
bad,annoyed,111
bad,argh,112
bad,argh,112
bad,arghh,113
bad,attack,114
bad,away,115
bad,awgoh,116
bad,awww,117
bad,backchat?,118
bad,bad,119
bad,bad,120
bad,smell,120
bad,bad,121
bad,taste,121
bad,beat,122
bad,it,122
bad,being,123
bad,disgusted,123
bad,bored,124
bad,boredom,125
bad,bother,126
bad,buzzer,127
bad,calling,128
bad,calling,129
bad,out,129
bad,dog,129
bad,cat,130
bad,celebrating,131
bad,child,132
bad,come,133
bad,here!,133
bad,come,134
bad,on,134
bad,complain,135
bad,creepy,136
bad,cross,137
bad,crying,138
bad,cughh,139
bad,danger,140
bad,digest,141
bad,disapointment,142
bad,disappoint,143
bad,disappointment,144
bad,disapproving,145
bad,discussing,146
bad,discusting,147
bad,disguss,148
bad,disgussed,149
bad,disgust,150
bad,disgust,151
bad,noises,151
bad,disgust,152
bad,sound,152
bad,"disgust,",153
bad,messy,153
bad,disgusted,154
bad,disgusting,155
bad,dislike,156
bad,distaste,157
bad,distgust,158
bad,do,159
bad,not,159
bad,like,159
bad,don't,160
bad,enjoy,160
bad,this,160
bad,don't,161
bad,know,161
bad,don't,162
bad,like,162
bad,dont,163
bad,know,163
bad,double,164
bad,disgust,164
bad,eat,165
bad,ecxclamation,166
bad,ehaa,167
bad,electronic,168
bad,sound,168
bad,ew,169
bad,gross,169
bad,ewrr,170
bad,eww,171
bad,ewww,172
bad,excited,173
bad,expressing,174
bad,disgust,174
bad,friend,175
bad,fury,176
bad,gag,177
bad,grandmother,178
bad,gross,179
bad,grunting,180
bad,how,181
bad,dare,181
bad,you,181
bad,i,182
bad,dont,182
bad,know,182
